X,Y,OBJECTID,Tyyp,Rataste_arv,Asukoht,Staatus,Linnaosa,GlobalID
656823.1642,6472270.1127,6885,4,20,75 Tervise,1,6,{C6F16CE3-0820-43FA-9604-9BA68D34B6EB}
658025.788599998,6474413.3315,6887,4,20,77 Jakobsoni,1,13,{57A3420C-520F-41C7-BB49-FE40A3897D0A}
659808.9102,6470200.8744,6891,4,20,74 Magaziini,1,9,{89F0ED76-D4F5-43B5-8644-22E8CAE2CCF5}
663111.454400003,6472023.5259,7282,4,20,70 Pallase,1,2,{8207D27F-7BBF-4E7A-8540-753C47EA2E6D}
658691.050300002,6475627.9503,12085,4,20,82 Ujula virtuaalparkla,1,17,{82741544-70EE-492F-9338-4FFC6975CA09}
653244.636,6474211.6236,12087,4,20,81 Rahinge virtuaalparkla,1,,{0876BE54-7889-4922-8E1E-F39D011EF39E}
661396.035899997,6478853.7844,12089,4,20,84 Kõrveküla,1,,{6C34D62B-1101-40EC-ADAC-303BED3E14BD}
660214.371399999,6476891.0318,12090,4,20,83 Kaupmehe,1,,{DC82EA73-A816-4408-BFE2-869B8C20DF9B}
663218.169399999,6471156.2852,13279,4,20,85 Ihaste Coop,1,,{8BA08E4F-66DE-43D6-B963-78A624EF6082}
668519.370899998,6471941.8204,13280,4,20,86 Luunja,1,,{78060338-B20C-41E8-8F8B-82F7D2581F02}
661932.602300003,6471395.5341,13679,4,20,80 Männimetsa virtuaalne,1,2,{FF351314-11B3-41CA-8B7C-73E94B835950}
657930.957800001,6470881.8342,14081,4,20,88 Tammenurga,1,12,{16D4AB78-1779-4BAA-8337-2BAC765DB987}
657532.788599998,6471654.5414,14082,4,20,89 Savi,1,12,{3175A467-6A64-4E5C-B651-F65E7B801766}
656440.185400002,6486852.9421,14083,4,20,91 Lähte,1,,{4381E853-3D42-4EEC-9AF9-D3FFE1367E47}
662554.596199997,6473831.0253,14084,4,20,87 Nõlvaku,1,1,{4567C915-4A03-46EA-B929-DCD41189AC01}
656752.293399997,6474836.4955,14085,4,20,92 Kaubabaas,1,16,{65CB7C13-1CD9-4599-B237-86115562989C}
658812.122699998,6475136.3886,14086,4,20,90 Kiigeplatsi,1,11,{6D319F74-BF08-43CC-BD66-F5F3BE053256}
661546.019500002,6472907.1918,14088,4,20,93 Linnupargi,1,1,{9E61455D-6DD2-4654-95B5-17B74996E31E}
